Atmid,Claim Registration Date,Date of Incidence,Issue,Location,Policy No,Security,State,Type of claim,Asset Loss,Cash Loss,Claim No.,Total Loss
JLU99926,9/20/2014,9/17/2014,Vandalism & Theft,VPO Giddarwindi,DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,364580,5409,765698,369989
DZEK9999119939921,9/20/2014,9/17/2014,Vandalism,NALBARI CINEMA HALL,DEF0001382,Non Guarded,Assam,Attempted Theft,156650,0,765757,156650
DI99123992,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DEEO99999972299997,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
P133939999,9/20/2014,9/6/2014,Natural Calamity - J & K floods,ANANTNAG,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DEEO99999972299199,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
M31I99415992,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DEEO9999997229918,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229913,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,0,0,767582,0
DZEO9999997229915,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
M31I9941511,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229916,9/20/2014,9/6/2014,Natural Calamity - J & K floods,BADGAM,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO999914789919,9/20/2014,9/6/2014,Natural Calamity - J & K floods,ANANTNAG,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO999914789915,9/20/2014,9/6/2014,Natural Calamity - J & K floods,ANANTNAG,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
NJUL62911111111,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229926,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229927,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229914,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO99999972299299,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
2996722991,9/20/2014,9/6/2014,Natural Calamity - J & K floods,ANANTNAG,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO999914789931,9/20/2014,9/6/2014,Natural Calamity - J & K floods,ANANTNAG,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO999914789932,9/20/2014,9/6/2014,Natural Calamity - J & K floods,ANANTNAG,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO999914789934,9/20/2014,9/6/2014,Natural Calamity - J & K floods,ANANTNAG,DEF0001382,Non Guarded,Punjab,Act of God,295600,0,767582,295600
DZEO9999997229932,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999245199993,9/20/2014,9/6/2014,Natural Calamity - J & K floods,PULWAMA,DEF0001382,Non Guarded,Punjab,Act of God,295600,0,767582,295600
DZEO9999997229934,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229933,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
O29989949999,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO99999972299996,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229941,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229942,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229943,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229948,9/20/2014,9/6/2014,Natural Calamity - J & K floods,BADGAM,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DEEO9999997229951,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO99999972299899,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229973,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO9999997229979,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEO999914789942,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
CXXS899993,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
CSL999991,9/20/2014,9/6/2014,Natural Calamity - J & K floods,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Act of God,295600,0,767582,295600
DZEP9911999999991,9/24/2014,9/21/2014,Vandalism & Theft,"Kot Issekhan, Moga ",DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,301240,13855,767527,315095
DZEP9999152399992,9/24/2014,9/20/2014,Vandalism,Channu Muktsar ,DEF0001382,Non Guarded,Punjab,Attempted Theft,26040,0,767522,26040
DZEK9999299659911,9/24/2014,9/19/2014,Vandalism,SANKARDEV NAGAR_Hojai,DEF0001382,Non Guarded,Assam,Attempted Theft,104920,0,767523,104920
DZEP5991299899991,9/24/2014,9/21/2014,Vandalism,"Pholariwal, Jalandhar",DEF0001382,Non Guarded,Punjab,Attempted Theft,149310,0,767727,149310
O127129999,9/24/2014,9/19/2014,Vandalism & Theft,"Nandpur Kalour, Fathegarhsahib",DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,277080,6362,767728,283442
DZEK999911719934,9/26/2014,9/22/2014,Vandalism & Theft,SONESWAR-NEAR -SBI-,DEF0001382,Non Guarded,Assam,Theft & Cash Loss,282950,28482,762266,311432
DZEK9999399399239,9/26/2014,9/22/2014,Vandalism,BASISTHA CHARIALI,DEF0001382,Non Guarded,Assam,Attempted Theft,40170,0,762262,40170
JH99ZE199U,9/29/2014,9/11/2014,Vandalism,"Shayam Tent House, Kishorganj ",DEF0001383,Guarded,Jharkhand,Attempted Theft,26040,0,762822,26040
DZEK999932329918,9/29/2014,9/22/2014,Vandalism,C-SECTOR NAHARLAGUN BARAPANI MARKET,DEF0001382,Non Guarded,Punjab,Attempted Theft,170700,0,762839,170700
CKC999399,10/1/2014,9/22/2014,Vandalism,Chapra,DEF0001383,Guarded,West Bengal,Attempted Theft,51560,0,763635,51560
DZEK9999699919921,10/1/2014,9/24/2014,Vandalism,"BANK TINIALI, 2nd CD",DEF0001382,Non Guarded,Arunachal Pradesh,Attempted Theft,131900,0,763623,131900
3EINPEJL995,10/6/2014,9/29/2014,Vandalism,Guru Ravidas Market,DEF0001382,Non Guarded,Punjab,Attempted Theft,282950,0,762225,282950
NJUL62811111111,10/6/2014,9/30/2014,Vandalism,"Gakhal Road Danish Manda, Jalandhar ",DEF0001382,Non Guarded,Punjab,Attempted Theft,72770,0,762227,72770
DZEK9999992149913,10/9/2014,10/2/2014,Vandalism,"NEAR A.G OFFICE, A.G.ROAD . LERIE",DEF0001382,Non Guarded,Nagaland,Attempted Theft,50650,0,765285,50650
DZEK99999999929948,10/9/2014,10/1/2014,Vandalism,JNIMS,DEF0001382,Non Guarded,Manipur,Attempted Theft,51040,0,765282,51040
DZEK9999991459934,10/9/2014,10/5/2014,Vandalism,"SBI WARD NO.4,C.D.ROAD",DEF0001382,Non Guarded,Uttar Pradesh,Attempted Theft,109500,0,765287,109500
O345759999,10/17/2014,10/6/2014,Vandalism,"Bernai, Jammu",DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,16920,0,767728,16920
CJP89958,10/17/2014,10/8/2014,Vandalism,Hanumangarh Junction ,DEF0001383,Guarded,Rajasthan,Attempted Theft,306250,0,767752,306250
DEEK999999997119999,10/20/2014,10/14/2014,Vandalism,SBI NR CIRCUIT HOUSE,DEF0001382,Non Guarded,Assam,Attempted Theft,56510,0,768777,56510
NHYD1241,10/20/2014,10/8/2014,Vandalism,"Mettaguda, Secunderabad",DEF0001382,Non Guarded,Secunderabad,Attempted Theft,41040,0,768759,41040
DZEP5999912999993,10/20/2014,10/17/2014,Vandalism,VPO Roorkee Sirhind,DEF0001382,Non Guarded,Punjab,Attempted Theft,141890,0,768758,141890
IPSEN998399991,10/25/2014,10/19/2014,Vandalism,Opp. Punjabi University,DEF0001382,Non Guarded,Punjab,Attempted Theft,118100,0,768893,118100
DZEK999999181136,10/25/2014,10/17/2014,Vandalism,QUALAPTTY,DEF0001382,Non Guarded,Meghalaya,Attempted Theft,52350,0,768892,52350
DZEK9999991819992,10/25/2014,10/17/2014,Vandalism,MAWLAI,DEF0001382,Non Guarded,Meghalaya,Attempted Theft,86450,0,768897,86450
DZEK99999999829917,10/30/2014,10/22/2014,Vandalism,MOILAPATHAR BAZAR,DEF0001382,Non Guarded,Goa,Attempted Theft,31670,0,775582,31670
DZEK9999323299299,11/1/2014,10/23/2014,Vandalism,BARAPANI SPUNPIPE MARKET NAHARLAGUN,DEF0001382,Non Guarded,Telangana,Attempted Theft,55060,0,775988,55060
DZEK999932329917,11/1/2014,10/23/2014,Vandalism,B-SECTOR NAHARLAGUN LUMAR DAI ROAD,DEF0001382,Non Guarded,Punjab,Attempted Theft,55060,0,775979,55060
IXXRZN131991N99,11/1/2014,10/28/2014,Vandalism,NAHARLAGUN INDIAN BANK,DEF0001382,Non Guarded,Arunachal Pradesh,Attempted Theft,55060,0,775978,55060
IPSEN99272991,11/1/2014,10/25/2014,Vandalism,"Mlktla Road, Dhuri ",DEF0001382,Non Guarded,Punjab,Attempted Theft,26040,0,775976,26040
DZEP5999962799991,11/4/2014,10/29/2014,Vandalism,"G.T Road, Ferozepur",DEF0001382,Non Guarded,Punjab,Attempted Theft,128780,0,777723,128780
DLUD62991,11/4/2014,10/29/2014,Vandalism,Malwal Road,DEF0001382,Non Guarded,Punjab,Attempted Theft,39110,0,777722,39110
NSRNC9913,11/6/2014,10/14/2014,Natural Calamity,I.G Airport Road,DEF0001383,Guarded,Punjab,Act of God,312500,0,772577,312500
OROZ148U,11/11/2014,10/12/2014,Natural Calamity,Nuapada ,DEF0001382,Non Guarded,Odisha,Act of God,83330,0,772573,83330
DEEK9999991199911,11/11/2014,11/3/2014,Vandalism,KOKRAJHER-TOWN-NEAR-ASTC-BUS-STAN-BTAD,DEF0001382,Non Guarded,Assam,Attempted Theft,42960,0,773287,42960
DZEK9999699919936,11/11/2014,11/4/2014,Vandalism,MOWB-2 PURBANCHAL SCHOOL ITANAGAR,DEF0001382,Non Guarded,Arunachal Pradesh,Attempted Theft,55060,0,773292,55060
DZEK999932329914,11/11/2014,11/2/2014,Vandalism,PAPUNALLA NLG,DEF0001382,Non Guarded,Punjab,Attempted Theft,55060,0,773259,55060
DZEK999961829911,11/11/2014,10/30/2014,Vandalism,UPPER LAMKA,DEF0001382,Non Guarded,Manipur,Attempted Theft,109370,0,773297,109370
DEEK99999999699932,11/11/2014,11/7/2014,Vandalism,GAURIPUR BUS STAND,DEF0001382,Non Guarded,Assam,Attempted Theft,33070,0,773675,33070
143621991,11/11/2014,11/7/2014,Vandalism & Theft,CANARA BANK JAGIROAD,DEF0001382,Non Guarded,Assam,Theft & Cash Loss,282950,7290,773677,290240
M31I2365993,11/11/2014,11/2/2014,Vandalism,Katra Safed,DEF0001382,Non Guarded,Punjab,Attempted Theft,42960,0,773672,42960
IPSEN999961991,11/13/2014,11/10/2014,Vandalism,Bhagta Bhai Bhatinda ,DEF0001382,Non Guarded,Punjab,Attempted Theft,111570,0,772755,111570
DZEO999968979912,11/13/2014,11/6/2014,Vandalism,"Railway Road, Kathua ",DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,119560,0,772726,119560
DZEK99999913999929,11/13/2014,11/10/2014,Vandalism & Theft,DUNI_DARRANG,DEF0001382,Non Guarded,Assam,Theft & Cash Loss,282950,23330,772722,306280
DZEK9999991199914,11/18/2014,11/12/2014,Vandalism,"SANTINAGAR MORE,KOKRAJHAR",DEF0001382,Non Guarded,Assam,Attempted Theft,136150,0,775235,136150
DEEP999947339978,11/18/2014,11/14/2014,Vandalism,Muhlla Janta Nagar,DEF0001382,Non Guarded,Punjab,Attempted Theft,42960,0,775228,42960
DZEK99999913999933,11/19/2014,11/13/2014,Vandalism & Theft,SBI_DHULACHOWK ,DEF0001382,Non Guarded,Assam,Theft & Cash Loss,363220,18513,775725,381733
XXS993671U,11/19/2014,9/22/2014,Natural Calamity,Krishnai,DEF0001382,Non Guarded,Goa,Act of God,239610,0,775727,239610
DZEK9999999971123,11/19/2014,11/13/2014,Vandalism,NATUN NAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,166140,0,775735,166140
DZEK9999699919935,11/19/2014,11/12/2014,Vandalism,E-EXTENSION VIP ROAD ITANAGAR,DEF0001382,Non Guarded,Arunachal Pradesh,Attempted Theft,55060,0,775732,55060
XXIN1662K,11/20/2014,9/22/2014,Natural Calamity,BOKO__ALLAHABAD,DEF0001382,Non Guarded,Assam,Act of God,98950,0,776759,98950
DZEK99992992499996,11/21/2014,11/15/2014,Vandalism,PURAN BAZAR - BILASIPARA,DEF0001382,Non Guarded,Assam,Attempted Theft,45280,0,776383,45280
P245829999,11/21/2014,11/19/2014,Vandalism,"Kharar Road, Landran",DEF0001382,Non Guarded,Punjab,Attempted Theft,282950,0,776382,282950
P3991749999,11/21/2014,11/18/2014,Vandalism,G.T Road,DEF0001382,Non Guarded,Punjab,Attempted Theft,247030,0,776386,247030
DZEK99999914699499,11/24/2014,11/19/2014,Vandalism,NAGAON COLLEGE,DEF0001382,Non Guarded,Assam,Attempted Theft,40390,0,776972,40390
DI1115991,11/24/2014,11/20/2014,Vandalism,ABHIYAPURI,DEF0001382,Non Guarded,Assam,Attempted Theft,42960,0,777577,42960
DZEK9999699919925,11/25/2014,11/13/2014,Vandalism,CHANDRAN NAGAR ITANAGAR,DEF0001382,Non Guarded,Arunachal Pradesh,Attempted Theft,53120,0,777733,53120
NGOXX99291,11/25/2014,11/23/2014,Vandalism,ESI Hospital,DEF0001382,Non Guarded,Goa,Attempted Theft,306250,0,777729,306250
XXXXG99931,11/25/2014,11/22/2014,Vandalism,"Arjun Nagar, UP",DEF0001383,Guarded,Uttar Pradesh,Attempted Theft,46870,0,777732,46870
XXID29962XX,11/25/2014,11/24/2014,Vandalism,Bahu Plaza,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,44530,0,777735,44530
NVIS99491,11/28/2014,11/25/2014,Vandalism,Satyam Junction,DEF0001382,Non Guarded,Andhra Pradesh,Attempted Theft,208440,0,778359,208440
DZEK999999999929968,12/4/2014,11/30/2014,Vandalism,Beltali,DEF0001382,Non Guarded,Tripura,Attempted Theft,98880,0,779732,98880
DZEP9999163499992,12/5/2014,12/2/2014,Vandalism,"Sukhanand, Moga ",DEF0001382,Non Guarded,Punjab,Attempted Theft,132870,0,779827,132870
XXEM999991,12/5/2014,11/27/2014,Vandalism,Jhusi,DEF0001383,Guarded,Uttar Pradesh,Attempted Theft,53270,0,779826,53270
DZEK99999999729944,12/5/2014,11/29/2014,Vandalism & Theft,DUNCAN BOSTI,DEF0001382,Non Guarded,Nagaland,Theft & Cash Loss,296870,20297,779825,317167
NGW89924,12/10/2014,12/6/2014,Vandalism,VISHNUPUR,DEF0001382,Non Guarded,Assam,Attempted Theft,104540,0,787777,104540
DZEK99999913999934,12/10/2014,12/7/2014,Vandalism,CHAPAICHOWK_DARRANG,DEF0001382,Non Guarded,Assam,Attempted Theft,88650,0,787775,88650
DZEK99999913999921,12/10/2014,12/7/2014,Vandalism,KALAIGAON,DEF0001382,Non Guarded,Assam,Attempted Theft,178670,0,787769,178670
DZEK9999119939917,12/10/2014,12/8/2014,Vandalism,Hajo Road-Nalbari,DEF0001382,Non Guarded,Assam,Attempted Theft,115320,0,787768,115320
DZEK99992993599992,12/10/2014,12/6/2014,Vandalism & Theft,BYRNIRHAT,DEF0001382,Non Guarded,Meghalaya,Theft & Cash Loss,296870,13029,787766,309899
DZEK99999999729992,12/10/2014,12/6/2014,Vandalism,KASHIRAM VILLAGE,DEF0001382,Non Guarded,Nagaland,Attempted Theft,109420,0,787765,109420
P1997119999,12/13/2014,12/9/2014,Vandalism,Jaintipur,DEF0001382,Non Guarded,Punjab,Attempted Theft,282950,0,782793,282950
DZEK9999299139912,12/16/2014,12/9/2014,Vandalism & Theft,CHAKCHAKA BAZAR,DEF0001382,Non Guarded,Assam,Theft & Cash Loss,282670,20198,783555,302868
DZEK9999991469938,12/16/2014,12/13/2014,Vandalism & Theft,"DHING GATE,Nagaon",DEF0001382,Non Guarded,Assam,Theft & Cash Loss,282950,20798,783559,303748
DZEP5991299899991,12/18/2014,12/12/2014,Vandalism,"Pholariwal, Jalandhar",DEF0001382,Non Guarded,Punjab,Attempted Theft,118400,0,783663,118400
NSRT99491,12/18/2014,12/13/2014,Vandalism,Dabhoi Char Rasta ,DEF0001382,Non Guarded,Gujarat,Attempted Theft,8330,0,783662,8330
XXS99Z283U,12/18/2014,12/13/2014,Vandalism,"Tingkhong, Assam",DEF0001382,Non Guarded,Assam,Attempted Theft,289980,0,783665,289980
DZEK99999913999942,12/18/2014,12/14/2014,Vandalism,BORICHOWKA_PATHORIGHAT,DEF0001382,Non Guarded,Assam,Attempted Theft,68440,0,783659,68440
DEEK99999999829916,12/18/2014,12/15/2014,Vandalism & Theft,DUBAPARA,DEF0001382,Non Guarded,Goa,Theft & Cash Loss,282950,18615,783656,301565
DEEK99999919949974,12/23/2014,12/18/2014,Vandalism,"Malow Ali, Rajotia",DEF0001382,Non Guarded,Assam,Attempted Theft,90670,0,785755,90670
P175159999,12/23/2014,12/19/2014,Vandalism & Theft,Opposite ITBP,DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,178120,14838,785753,192958
PE24169999,12/23/2014,12/19/2014,Vandalism,Jamabandi,DEF0001382,Non Guarded,Punjab,Attempted Theft,47220,0,78555,47220
M31I3178991,12/23/2014,12/19/2014,Vandalism,Mehta Road,DEF0001382,Non Guarded,Punjab,Attempted Theft,156250,0,785752,156250
DZEK99999999783996,12/27/2014,12/19/2014,Vandalism & Theft,"Palashbari, Assam",DEF0001382,Non Guarded,Assam,Theft & Cash Loss,282950,15241,786223,298191
DZEP9999997329936,12/29/2014,12/22/2014,Vandalism,Opp Verka Plant,DEF0001382,Non Guarded,Punjab,Attempted Theft,135230,0,78652,135230
NI1942991XX,12/29/2014,12/22/2014,Vandalism,Mandi Gobindgarh,DEF0001382,Non Guarded,Punjab,Attempted Theft,204880,0,78658,204880
JLU899997,12/29/2014,12/25/2014,Vandalism,"Kohli Tractor Rajpura, Patiala",DEF0001382,Non Guarded,Punjab,Attempted Theft,282950,0,787552,282950
O2239979999,12/29/2014,12/27/2014,Vandalism & Theft,Nawanshahr,DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,277080,5392,787556,282472
DZEK99999999829917,1/2/2015,12/26/2014,Vandalism,Moilapathar Bazar,DEF0001382,Non Guarded,Goa,Attempted Theft,6250,0,787872,6250
DZEP999947339993,1/2/2015,12/28/2014,Vandalism,Main Dhandra Road,DEF0001382,Non Guarded,Punjab,Attempted Theft,93850,0,788592,93850
XXVG899991,1/7/2015,12/28/2014,Vandalism,Gorakhpur,DEF0001383,Guarded,Uttar Pradesh,Attempted Theft,1560,0,789252,1560
DZEK9999168499199,1/7/2015,12/31/2014,Vandalism,"Mazgaon Part 1, Bongaigaon",DEF0001382,Non Guarded,Assam,Attempted Theft,93780,0,789259,93780
DEEK9999399399269,1/7/2015,12/31/2014,Vandalism,"Post Office, Basistha, Guwahati",DEF0001382,Non Guarded,Assam,Attempted Theft,520,0,789573,520
863222991,1/8/2015,12/29/2014,Vandalism,Gurdaspur Happy High School,DEF0001382,Non Guarded,Punjab,Attempted Theft,282950,0,789833,282950
DZEK9999999971114,1/7/2015,1/1/2015,Vandalism,Naliapool Sankerdev Namghar,DEF0001382,Non Guarded,Assam,Attempted Theft,282950,0,789259,282950
MN99Z192U,1/7/2015,1/3/2015,Vandalism,Manipur,DEF0001382,Non Guarded,Manipur,Attempted Theft,33330,0,789526,33330
XXID99714K,1/8/2015,1/2/2015,Vandalism,Naliapool,DEF0001382,Non Guarded,Assam,Attempted Theft,42910,0,789895,42910
DZEK99999999289914,1/8/2015,1/6/2015,Vandalism,"Bhella, Barpeta",DEF0001382,Non Guarded,Assam,Attempted Theft,282950,0,789892,282950
DZEO9999996579941,1/8/2015,1/3/2015,Vandalism,"Nai basti, Satwari",DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,36450,0,789883,36450
IPSEN99457991,1/8/2015,1/5/2015,Vandalism & Theft,Adda Sheron,DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,312500,4363,789853,316863
2998922991,1/8/2015,1/6/2015,Vandalism,7A Civil Lines,DEF0001382,Non Guarded,Punjab,Attempted Theft,36450,0,755937,36450
DZEP59999599299999,1/8/2015,1/7/2015,Vandalism,"Mohali, Punjab",DEF0001382,Non Guarded,Punjab,Attempted Theft,167380,0,755977,167380
CEO89935,1/9/2015,1/6/2015,Vandalism,Bangrasia,DEF0001382,Non Guarded,Madhya Pradesh,Attempted Theft,306250,0,759775,306250
DZEK9999323299299,1/9/2015,1/5/2015,Vandalism,Barapani Spunpipe,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,282950,0,759776,282950
NI995299991,1/9/2015,1/7/2015,Vandalism,"Bharatgarh, Ropar",DEF0001382,Non Guarded,Punjab,Attempted Theft,70980,0,759777,70980
XXKE999998,1/13/2015,1/6/2015,Vandalism,Malda,DEF0001383,Guarded,West Bengal,Attempted Theft,53900,0,797283,53900
WE99Z419U,1/16/2015,1/10/2015,Vandalism,Baishnab Nagar,DEF0001382,Non Guarded,West Bengal,Attempted Theft,282950,0,792222,282950
DEEK999915399929,1/16/2015,1/11/2015,Vandalism,Bethlehem Vengthlang,DEF0001382,Non Guarded,Mizoram,Attempted Theft,36450,0,792232,36450
NI99722991,1/16/2015,1/10/2015,Vandalism,"Sipajhar Khargendra Baruah, Darrang",DEF0001382,Non Guarded,Assam,Attempted Theft,282950,0,792225,282950
KEL9939982,1/16/2015,1/12/2015,Vandalism,Kirthi Nagar,DEF0001383,Guarded,New Delhi,Attempted Theft,222140,0,792255,222140
DZEK99999999929947,1/16/2015,1/12/2015,Vandalism,"Shija Hospital, Manipur",DEF0001382,Non Guarded,Manipur,Attempted Theft,134180,0,792267,134180
WE99Z4995U,1/19/2015,1/12/2015,Vandalism,"Narayangarh, Kharagpur",DEF0001382,Non Guarded,West Bengal,Attempted Theft,46520,0,792592,46520
DZEK9999991469963,1/19/2015,1/15/2015,Vandalism & Theft,"Opp. Senchowa Railway Station, Assam",DEF0001382,Non Guarded,Jammu & Kashmir,Theft & Cash Loss,282950,17671,792977,300621
DZEK99999999829919,1/19/2015,1/18/2015,Vandalism & Theft,"Mornoi, Assam",DEF0001382,Non Guarded,Goa,Theft & Cash Loss,282950,14116,792973,297066
NHYD19931,1/21/2015,1/16/2015,Vandalism,"HB Colony, Hyderabad",DEF0001382,Non Guarded,Andhra Pradesh,Attempted Theft,181530,0,793577,181530
DZEP99999963999997,1/29/2015,1/24/2015,Vandalism,Fazilka Abohar Road,DEF0001382,Non Guarded,Punjab,Attempted Theft,105260,0,795288,105260
2499722991,1/29/2015,1/21/2015,Vandalism,"Bhagwan Nagar, Ludhiana",DEF0001382,Non Guarded,Punjab,Attempted Theft,282950,0,795576,282950
XXHY899994,1/29/2015,1/24/2015,Vandalism,"Malakpet, Hyderabad",DEF0001383,Guarded,Andhra Pradesh,Attempted Theft,0,0,795527,0
V2348999999,1/29/2015,1/22/2015,Vandalism & Theft,"Naushura Majha Singh, Gurdaspur",DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,186910,3927,795539,190837
DZEK9999299139914,2/4/2015,2/1/2015,Vandalism & Theft,"Barpeta Near Power House, Assam",DEF0001382,Non Guarded,Assam,Theft & Cash Loss,282950,11802,796675,294752
IPSEN994992991,2/5/2015,1/24/2015,Vandalism,Bilaspur Moga,DEF0001382,Non Guarded,Chattisgarh,Attempted Theft,65780,0,797726,65780
DZEP9999996959948,2/5/2015,1/31/2015,Vandalism,Pathankot To Mukerian Highway,DEF0001382,Non Guarded,Punjab,Attempted Theft,80950,0,797722,80950
XXGZ89935,2/5/2015,1/29/2015,Vandalism,"Sarai Jwalapur, Haridwar",DEF0001383,Guarded,Uttarakhand,Attempted Theft,56160,0,797773,56160
DZEK99992994999995,2/6/2015,2/5/2015,Vandalism & Theft,"Near Public bus stand, Dhekiyajuli",DEF0001382,Non Guarded,Assam,Theft & Cash Loss,45240,1627,797267,46867
NHYD1281,2/6/2015,2/4/2015,Vandalism,"Champapet, Hyderabad",DEF0001382,Non Guarded,Andhra Pradesh,Attempted Theft,0,0,797262,0
DZEK999999181133,2/11/2015,2/6/2015,Vandalism,"Upper Nongrim Hills, Shillong",DEF0001382,Non Guarded,Meghalaya,Attempted Theft,70810,0,798775,70810
SEMNXX1489I1,2/11/2015,2/6/2015,Vandalism,"New Teachar Colony, Rajpura",DEF0001382,Non Guarded,Punjab,Attempted Theft,282950,0,798769,282950
DZEK9999366599998,2/11/2015,2/9/2015,Vandalism & Theft,"Ladrymbai, Meghalaya",DEF0001382,Non Guarded,Meghalaya,Theft & Cash Loss,312500,9056,798768,321556
